Goroutine	Total		Execution time	Block time (preempted)	Block time (syscall)	Sched wait time	Syscall execution time	Unknown time
241	1m6.387126592s		535.543425ms	0s	0s	1m5.851583167s	0s	0s
307	1m6.383819968s		540.909696ms	0s	0s	1m5.842910272s	0s	0s
350	1m6.36942624s		544.610432ms	0s	0s	1m5.824815808s	0s	0s
289	1m6.364136832s		534.060929ms	0s	0s	1m5.830075903s	0s	0s
212	1m6.361529152s		530.28896ms	0s	0s	1m5.831240192s	0s	0s
532	1m6.358141376s		527.141441ms	0s	0s	1m5.830999935s	0s	0s
120	1m6.354934976s		509.919808ms	0s	0s	1m5.845015168s	0s	0s
188	1m6.34533504s		549.229633ms	0s	0s	1m5.796105407s	0s	0s
535	1m6.343546048s		552.583296ms	0s	0s	1m5.790962752s	0s	0s
192	1m6.336723072s		526.174528ms	0s	0s	1m5.810548544s	0s	0s
114	1m6.330003136s		537.776832ms	0s	0s	1m5.792226304s	0s	0s
257	1m6.327780928s		507.628928ms	0s	0s	1m5.820152s	0s	0s
88	1m6.318462656s		534.952128ms	0s	0s	1m5.783510528s	0s	0s
13	1m6.316451072s		554.41792ms	0s	0s	1m5.762033152s	0s	0s
407	1m6.307944384s		503.567936ms	0s	0s	1m5.804376448s	0s	0s
73	1m6.292028544s		516.556992ms	0s	0s	1m5.775471552s	0s	0s
353	1m6.289952512s		536.784ms	0s	0s	1m5.753168512s	0s	0s
34	1m6.289341504s		571.47296ms	0s	0s	1m5.717868544s	0s	0s
457	1m6.273428992s		555.61472ms	0s	0s	1m5.717814272s	0s	0s
112	1m6.257249536s		577.067456ms	0s	0s	1m5.68018208s	0s	0s
406	1m6.233212352s		551.411009ms	0s	0s	1m5.681801343s	0s	0s
545	1m6.228962944s		560.552065ms	0s	0s	1m5.668410879s	0s	0s
284	1m6.224231936s		522.89376ms	0s	0s	1m5.701338176s	0s	0s
403	1m6.22226464s		519.132737ms	0s	0s	1m5.703131903s	0s	0s
103	1m6.221749696s		563.462337ms	0s	0s	1m5.658287359s	0s	0s
604	1m6.220032448s		537.719872ms	0s	0s	1m5.682312576s	0s	0s
163	1m6.199271296s		530.375616ms	0s	0s	1m5.66889568s	0s	0s
602	1m6.191203328s		549.498433ms	0s	0s	1m5.641704895s	0s	0s
101	1m6.183131008s		538.953728ms	0s	0s	1m5.64417728s	0s	0s
139	1m6.178622208s		523.370176ms	0s	0s	1m5.655252032s	0s	0s
26	1m6.17570368s		533.587648ms	0s	0s	1m5.642116032s	0s	0s
415	1m6.174131328s		545.539711ms	0s	0s	1m5.628591617s	0s	0s
349	1m6.162441152s		554.613952ms	0s	0s	1m5.6078272s	0s	0s
275	1m6.1514992s		512.44032ms	0s	0s	1m5.63905888s	0s	0s
521	1m6.14968384s		539.46336ms	0s	0s	1m5.61022048s	0s	0s
336	1m6.145601344s		523.592118ms	0s	0s	1m5.622009226s	0s	0s
404	1m6.1453104s		522.267521ms	0s	0s	1m5.623042879s	0s	0s
246	1m6.142508672s		525.618495ms	0s	0s	1m5.616890177s	0s	0s
318	1m6.11560064s		516.407552ms	0s	0s	1m5.599193088s	0s	0s
480	1m6.103344704s		567.111872ms	0s	0s	1m5.536232832s	0s	0s
200	1m6.096403968s		565.025856ms	0s	0s	1m5.531378112s	0s	0s
505	1m6.092365888s		542.247936ms	0s	0s	1m5.550117952s	0s	0s
23	1m6.074194624s		531.110656ms	0s	0s	1m5.543083968s	0s	0s
346	1m6.073389504s		550.95808ms	0s	0s	1m5.522431424s	0s	0s
276	1m6.073090304s		536.969216ms	0s	0s	1m5.536121088s	0s	0s
149	1m6.064151552s		539.188288ms	0s	0s	1m5.524963264s	0s	0s
475	1m6.06254496s		530.918272ms	0s	0s	1m5.531626688s	0s	0s
166	1m6.060654208s		501.526208ms	0s	0s	1m5.559128s	0s	0s
498	1m6.039038784s		517.783872ms	0s	0s	1m5.521254912s	0s	0s
314	1m6.035630208s		546.238208ms	0s	0s	1m5.489392s	0s	0s
446	1m6.027868352s		549.032512ms	0s	0s	1m5.47883584s	0s	0s
413	1m6.027793792s		522.565352ms	0s	0s	1m5.50522844s	0s	0s
167	1m6.023726848s		532.62624ms	0s	0s	1m5.491100608s	0s	0s
451	1m6.022685824s		502.382209ms	0s	0s	1m5.520303615s	0s	0s
542	1m6.01919552s		515.897344ms	0s	0s	1m5.503298176s	0s	0s
115	1m6.010406848s		528.824064ms	0s	0s	1m5.481582784s	0s	0s
72	1m5.987094912s		524.20032ms	0s	0s	1m5.462894592s	0s	0s
607	1m5.980519424s		513.296448ms	0s	0s	1m5.467222976s	0s	0s
271	1m5.969819456s		526.242112ms	0s	0s	1m5.443577344s	0s	0s
588	1m5.966229632s		562.478144ms	0s	0s	1m5.403751488s	0s	0s
469	1m5.960826304s		566.65888ms	0s	0s	1m5.394167424s	0s	0s
569	1m5.955602496s		515.921408ms	0s	0s	1m5.439681088s	0s	0s
508	1m5.951735296s		563.764736ms	0s	0s	1m5.38797056s	0s	0s
36	1m5.948955968s		559.101248ms	0s	0s	1m5.38985472s	0s	0s
290	1m5.94264736s		511.265985ms	0s	0s	1m5.431381375s	0s	0s
286	1m5.939720704s		542.255872ms	0s	0s	1m5.397464832s	0s	0s
553	1m5.93661792s		510.330368ms	0s	0s	1m5.426287552s	0s	0s
319	1m5.919921664s		512.303168ms	0s	0s	1m5.407618496s	0s	0s
227	1m5.91824704s		585.636928ms	0s	0s	1m5.332610112s	0s	0s
298	1m5.91273536s		535.481472ms	0s	0s	1m5.377253888s	0s	0s
176	1m5.910913984s		513.779328ms	0s	0s	1m5.397134656s	0s	0s
329	1m5.88128096s		497.243008ms	0s	0s	1m5.384037952s	0s	0s
54	1m5.87817344s		526.150464ms	0s	0s	1m5.352022976s	0s	0s
215	1m5.862233344s		517.222656ms	0s	0s	1m5.345010688s	0s	0s
278	1m5.854966464s		535.906369ms	0s	0s	1m5.319060095s	0s	0s
109	1m5.840933312s		538.536ms	0s	0s	1m5.302397312s	0s	0s
358	1m5.820835136s		516.719872ms	0s	0s	1m5.304115264s	0s	0s
108	1m5.815559104s		551.726976ms	0s	0s	1m5.263832128s	0s	0s
340	1m5.811378496s		537.838016ms	0s	0s	1m5.27354048s	0s	0s
53	1m5.791710976s		571.506432ms	0s	0s	1m5.220204544s	0s	0s
68	1m5.785763072s		488.089024ms	0s	0s	1m5.297674048s	0s	0s
384	1m5.771313088s		542.661056ms	0s	0s	1m5.228652032s	0s	0s
365	1m5.768711424s		518.711616ms	0s	0s	1m5.249999808s	0s	0s
263	1m5.735648064s		553.890304ms	0s	0s	1m5.18175776s	0s	0s
208	1m5.721268672s		539.86848ms	0s	0s	1m5.181400192s	0s	0s
352	1m5.71685248s		503.425792ms	0s	0s	1m5.213426688s	0s	0s
356	1m5.71395392s		534.374912ms	0s	0s	1m5.179579008s	0s	0s
421	1m5.705559808s		554.925121ms	0s	0s	1m5.150634687s	0s	0s
590	1m5.701569344s		526.554816ms	0s	0s	1m5.175014528s	0s	0s
533	1m5.69616224s		495.25048ms	0s	0s	1m5.20091176s	0s	0s
385	1m5.696112832s		495.601024ms	0s	0s	1m5.200511808s	0s	0s
593	1m5.67505696s		535.47936ms	0s	0s	1m5.1395776s	0s	0s
325	1m5.65275424s		519.4341ms	0s	0s	1m5.13332014s	0s	0s
466	1m5.648328s		534.61856ms	0s	0s	1m5.11370944s	0s	0s
