SCHED 342ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=16762 [ 102 4 ] schedticks=[ 295 365 ]
SCHED 353ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=16760 [ 89 1 ] schedticks=[ 309 369 ]
SCHED 364ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=16760 [ 76 1 ] schedticks=[ 323 369 ]
SCHED 375ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21662 [ 62 158 ] schedticks=[ 338 370 ]
SCHED 388ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21662 [ 46 141 ] schedticks=[ 354 387 ]
SCHED 398ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21661 [ 33 128 ] schedticks=[ 368 400 ]
SCHED 410ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21661 [ 18 113 ] schedticks=[ 383 415 ]
SCHED 423ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21660 [ 2 98 ] schedticks=[ 399 431 ]
SCHED 436ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21660 [ 0 81 ] schedticks=[ 401 448 ]
SCHED 446ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21660 [ 0 68 ] schedticks=[ 401 462 ]
SCHED 459ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21532 [ 115 52 ] schedticks=[ 414 478 ]
SCHED 472ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21531 [ 115 38 ] schedticks=[ 414 494 ]
SCHED 482ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21531 [ 102 25 ] schedticks=[ 427 507 ]
SCHED 492ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21530 [ 90 11 ] schedticks=[ 441 521 ]
