SCHED 344ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2458 [ 66 86 ] schedticks=[ 369 298 ]
SCHED 355ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2458 [ 60 73 ] schedticks=[ 375 312 ]
SCHED 368ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2458 [ 60 56 ] schedticks=[ 375 329 ]
SCHED 379ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2459 [ 45 42 ] schedticks=[ 390 343 ]
SCHED 392ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2459 [ 29 35 ] schedticks=[ 406 350 ]
SCHED 402ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2459 [ 15 35 ] schedticks=[ 420 350 ]
SCHED 413ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2460 [ 9 21 ] schedticks=[ 426 364 ]
SCHED 424ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2459 [ 9 8 ] schedticks=[ 426 378 ]
SCHED 434ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2203 [ 124 123 ] schedticks=[ 440 391 ]
SCHED 445ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2203 [ 110 116 ] schedticks=[ 454 398 ]
SCHED 456ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2203 [ 97 116 ] schedticks=[ 467 398 ]
